Theta,Quadrant,Rho,m,Susceptibles,Infecteds,Deads
,,,,440.0,1.0,0.0
0.05880190477250912,1.0,0.49483762988529595,1.0,438.8818,1.1182,1.0
3.135672704578596,2.0,0.3395094745874561,1.0,438.7538,0.128,2.1182
0.712410734672431,1.0,0.6194293262450927,2.0,438.2473,0.5065,2.2462
0.3139960167544524,1.0,0.9775296384213658,3.0,436.829,1.4183,2.7527
4.306542925577691,3.0,0.09643307763795404,1.0,435.5092,1.3198,4.171
3.0598362749844576,2.0,0.744206212254552,2.0,434.3797,1.1295,5.4908
5.6401466960725415,4.0,0.2924994740953247,1.0,433.6353,0.7444,6.6203
4.068061337996181,3.0,0.2986753509649212,1.0,433.0178,0.6175,7.3647
5.635785514203071,4.0,0.7524734726896639,2.0,431.9444,1.0734,7.9822
4.531024391421074,3.0,0.01866372770507497,1.0,431.0172,0.9272,9.0556
5.223547598494299,4.0,0.5237374359849138,2.0,429.1249,1.8923,9.9828
5.199763530712482,4.0,0.8644358472002829,2.0,426.3276,2.7973,11.8751
5.237534994919747,4.0,0.38884284026391785,1.0,424.5939,1.7337,14.6724
6.013286908156774,4.0,0.21219184946692968,1.0,423.4634,1.1305,16.4061
2.3124913989787577,2.0,0.4751807042608476,1.0,423.0993,0.3641,17.5366
